Property Character Location Other,Project Requested,First appearance:,,Appears On Cover? (Y/N),Talent:,,,,Talent/Agreement  Notes,Rights/Additional Notes,VALIDATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Issue,Date,,Name,Service,Agreement Type,Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hope Springs, West Virginia
(Desolation, West Virginia)",,"as Desolation:
Green Lantern #77",Jun-1970,N,Denny O'Neil,writer,Creator Recognition Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Neal Adams,"pencils, cover pencils & inks",Creator Recognition Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Frank Giacoia,inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arrow 701,"as Hope Springs:
Green Lantern #1",Jun-1990,N,Gerard Jones,writer,Continuity Writer; WFH,,DC no longer has an active relationship with Jones due to criminal conviction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Pat Broderick,"pencils, cover pencils",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bruce Patterson,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mark Nelson,cover inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Anthony Tollin,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hotness,Flash 416,Forever Evil: A.R.G.U.S. #2,Jan-2014,N,Sterling Gates,writer,WFH,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Neil Edwards,pencils,WFH,,Character equity agreement sent; not yet signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jason Paz,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jay Leisten,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Doug Mahnke,cover,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Nathan Eyring,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Hounds
(Pit Bull; Blackwolf; Electron)","Point Blank
Sleeper",Sleeper: Season 2 #1,Aug-2004,N,Ed Brubaker,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sean Phillips,"pencils, inks, cover",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Alex Sinclair,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Carrie Strachan,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hourman
(Rex Tyler)",Legends 201,"Adventure Comics #48
""Presenting Tick-Tock Tyler, the Hour-Man""",Mar-1940,Y,Kenneth W. Fitch,writer,Creator Recognition,2013,Deceased Creator Recognition Agreement is with heirs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bernard Baily,"pencils, inks, cover",None,,Deceased Creator Recognition Agreement with heirs was never signed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hourman
(Rick Tyler)",,"Infinity, Inc. #20",Nov-1985,N,Roy Thomas,co-writer,Writer,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Dannette ""Dann"" Thomas",co-writer,None,,"We believe that Roy Thomas entered into a separate agreement with Dann Thomas for writing services, but we do not have a copy of it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Todd McFarlane,pencils,Artist,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Steve Montano,inks,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Michael Bair
(Michael Hernandez)",cover,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Adrienne Roy,color,N/A,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Anthony Tollin,color,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hourman
(Matthew Tyler)",,JLA #12,Nov-1997,N,Grant Morrison,writer,Continuity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Howard Porter,"pencils, cover pencils",Continuity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,John Dell III,"inks, cover inks",Continuity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Pat Garrahy,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House of El,"Man of Steel
(2013)",The Krypton Chronicles #1,Sep-1981,N,E. Nelson Bridwell,writer,N/A,,"Bridwell was an employee of DC at this time.
Deceased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Curt Swan,pencils,Exclusive,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Frank Chiaramonte,inks,Exclusive,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Richard Buckler, Sr.",cover pencils,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dick Giordano,cover inks,Exclusive,,"Giordano was an employee of DC at this time.
Deceased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Carl Gafford,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"House of Mystery
(Golden Age)",,House of Mystery #1,Dec-1951,Y,Curt Swan,pencils,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ray Burnley,inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bob Brown,"pencils, inks",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bernard Krigstein,pencils,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Henry Boltinoff,"writer, pencils, inks",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,John Prentice,pencils,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Morris Waldinger,"pencils, inks",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"James Winslow ""Win"" Mortimer",cover pencils,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Charles Paris,cover inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"House of Mystery
(Modern Age)",,House of Mystery #1,Jul-2008,Y,Matthew Sturges,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bill Willingham,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Luca Rossi
(Luke Rossi)","pencils, inks",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ross Campbell,"pencils, inks",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sam Weber,cover,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Berni Wrightson,cover (variant),WFH,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Lee Loughridge,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"House of Mystery
(The House)",,"House of Mystery #175
""Welcome to the House of Mystery""",Jul-1968,N,Joe Orlando,"writer, pencils, inks, editor",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bob Haney,writer,Contributor Recognition,,Deceased Contributor Recognition agreement is with heir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jack Sparling,"pencils, inks",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Neal Adams,cover,Creator Recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House of Themyscira,,Wonder Woman: The Hiketeia,2002,N,Greg Rucka,writer,Graphic Novel Writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jeffrey G. Jones,"pencils, cover",Graphic Novel Artist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Wade Von Grawbadger,inks,Graphic Novel Artist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,David Stewart,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horst Eismann,Doom Patrol 117,Doom Patrol #27 ,Nov-1989,N,Grant Morrison,writer,"WFH, Equity",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Richard Case,pencils,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,John Nyberg,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howard Jordan,"Green Lantern
(2011)","Green Lantern #53
""Two Green Lanterns in the Family""",Jun-1967,N,John Broome,writer,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Carmine Infantino,"pencils, cover pencils",Settlement,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sid Greene,inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Murphy Anderson,cover inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H'ronmeer,Supergirl 204,Martian Manhunter #1,May-1988,N,John Marc DeMatteis,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mark Badger,"pencils, inks, cover, color",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hub City,,"in Charlton Comics:
Blue Beetle #1
""Who Is The Question?""",Jun-1967,Y,Steve Ditko,"pencils, cover pencils",Creator Recognition,2017,See Charlton Comics Purchase Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hugo Lark,"Point Blank
Sleeper",Sleeper #2,Apr-2003,N,Ed Brubaker,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sean Phillips,"pencils, inks, cover",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tony Avina,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Randy Mayor,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Human Target
(Christopher Chance)",Arrow 505,"Action Comics #419
""The Assassin-Express Contract""",Dec-1972,N,Len Wein,writer,None,2005,"Character equity agreement references a prior agreement for this work that has not been located. We believe that, consistent with business practices at the time, it was set forth on the back of the check paid to Len Wein.
Deceased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Carmine Infantino,"pencils, inks",Settlement,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Neal Adams,cover pencils,Creator Recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Murphy Anderson,cover inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunk Norvock,Flash 401,"All-Flash #12
""Tumble Inn to Trouble""",Fall 1943,N,Gardner F. Fox,writer,Creator Recognition,,Deceased Creator recognition agreement with heirs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Everett E. Hibbard,"artist, cover",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Huntress
(Helena Wayne)
Earth-2 Huntress only. For the Earth-1 Huntress, see Batgirl/Helena Bertinelli.",,"DC Super-Stars #17
""From Each Ending… a Beginning""",Dec-1977,Y,Paul Levitz,writer,Exclusive,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Joe Staton,"pencils, cover pencils",Exclusive,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bob Layton,"inks, cover inks",Exclusive,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Anthony Tollin,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hush
Doctor (Dr.) Thomas Elliot (Tommy Elliot)",Batwoman 117,Batman #609,Jan-2003,N,Jeph Loeb,writer,"Creative Contributor, Equity",2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jim Lee,pencils,Firewall,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Scott Williams,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hydra
(Mythical Serpent)",Plastic Man,"Superman #28
""Stand-In for Hercules""",May-1944,N,"Jerome ""Jerry"" Siegel",writer,Continuity; Settlement,,Deceased Settlement is with heirs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ian Yarbrough,pencils,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,George Roussos,inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Wayne Boring,cover pencils,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Stan Kaye,cover inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydra,Plastic Man,Power Girl #2,Jul-1988,N,Paul Kupperberg,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Rick Hoberg,pencils,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Arne Starr,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kerry Gammill,cover pencils,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dick Giordano,cover inks,WFH,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Julianna Ferriter,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hyena
(Summer Day)",,Firestorm #4,Jun-1968,N,Gerry Conway,writer,Writer,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Al Milgrom,pencils,Equity,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ibac
(Stanley ""Stinky"" Printwhistle)",Plastic Man,"in Fawcett Comics:
Captain Marvel Adventures #8
""The Curse of Ibac""",Mar-1942,N,"Charles Clarence ""C.C."" Beck",cover pencils,None,,See also: Fawcett Purchase Agreements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Pete Costanza,cover inks,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"in DC Comics:
Shazam #4",Jul-1973,N,Dennis J. O'Neil,writer,Creator Recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Charles Clarence ""C.C."" Beck","pencils, inks, cover",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ice
(Tora Olafsdotter, Icemaiden II)",,Justice League International #12* ,Apr-1988,N,Keith Giffen,writer,WFH,,,*Character is on the equity list with conflicting first appearance information (Super Friends #25 October 1979) with equity to Nelson Bridwell (employee of DC from 1/13/1964-1/23/1987) and Ramona Fradon (Creator Recognition Agreement DCBL 225190),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,J.M. DeMatteis,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kevin Maguire,"pencils,",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Al Gordon,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceberg Lounge,Gotham 401,Detective Comics #683,Mar-1995,N,Chuck Dixon,writer,Continuity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Graham Nolan,"pencils, cover pencils",Continuity; WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Scott Hanna,"inks, cover inks",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Adrienne Roy,color,Exclusive,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ice Cream Soldier
(Phillip Mason)",,"Our Army At War #85
""Ice Cream Soldier""",Aug-1959,Y,Robert Kanigher,writer,N/A,,"Kanigher was an employee of DC from 2/3/47 - 5/31/82.
Deceased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Joe Kubert,"pencils, inks",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Jerry Grandenetti
(Charles J. Grandenetti)",cover,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Icicle
(Dr. Joar Mahkent)",Flash 506,"All-American Comics #90
""The Icicle!""",Oct-1947,Y,Robert Kanigher,writer,N/A,,"Kanigher was an employee of DC from 2/3/47 through 5/31/82.
Deceased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Irwin Hasen,"pencils, cover",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,John Belfi,inks,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Icicle, Jr.
(Cameron Mahkent; Ice)",Flash 501,Infinity Inc. #34,Jan-1987,N,Roy Thomas,co-writer,Writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Dannette ""Dann"" Thomas",co-writer,None,,"We believe that Roy Thomas entered into a separate agreement with Dann Thomas for writing services, but we do not have a copy of it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Todd McFarlane,"pencils, cover pencils",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tony DeZuniga,"inks, cover inks",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Liz Berube,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperceptible Man,,Detective Comics vol 2 #6 ,Apr-2012,N,Tony S. Daniel,"writer, pencils",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sandu Florea,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imps,Supergirl 413,"Superman #30
""The Mysterious Mr. Mxyztplk!""",Sep-1944,N,"Jerome ""Jerry"" Siegel",writer,Settlement,,Deceased Settlement is with heirs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Joseph Shuster,pencils,Settlement,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ira Yarbrough,"pencils, inks",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jack Burnley,cover,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incubus,"Suicide Squad
(2016)","in Charlton Comics (text only):
Captain Atom #87
""The Image's Idyll""",Aug-1967,N,David Kaler,writer,None,,See Charlton Comics Purchase Agreement.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jim Aparo,"pencils, inks",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Steve Ditko,cover pencils,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Rocco Mastroserio,cover inks,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"in DC Comics (claiming to be Larry Eden):
Suicide Squad #14",Jun-1988,N,John Ostrander,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Luke McDonnell,"pencils, inks",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jerry Bingham,cover,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Carl Gafford,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"as Incubus:
Secret Origins #28",Jul-1988,N,Robert Greenberger,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Rob Liefeld,pencils,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bob Lewis,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Keith Wilson,cover pencils,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,William Messner-Loebs,cover inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Carl Gafford,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Indigo
(Brainiac-8)","Supergirl 115
(2/29/2016)",Titans/Young Justice: Graduation Day #1,Jul-2003,N,Judd Winick,writer,WFH; Exclusive,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Alejandro Garza,"pencils, cover pencils",WFH,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Trevor Scott,"inks, cover inks",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jeremy Cox,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injustice Society,Stargirl 101,"All-Star Comics #37
""The Injustice Society of the World!""
(This story is told in 7 chapters, all written by Kanigher and drawn by different artists.)",Nov-1947,Y,Robert Kanigher,writer,N/A,,"Kanigher was an employee of DC from 2/3/1947-5/31/1982/
Deceased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Irwin Hasen,"pencils, inks, cover (Introduction, Ch. 3, Conclusion)",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Joe Kubert,"pencils, inks (Ch. 1)",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Carmine Infantino,pencils (Ch. 2),Settlement,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Alex Toth,"pencils, inks (Ch. 4, Ch. 5)",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,John Belfi,"inks (Introduction, Ch. 2, Conclusion)",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Invisible Kid
(Lyle Norg)",,"Action Comics #267
""The Three Super-Heroes""",Aug-1960,N,"Jerome ""Jerry"" Siegel",writer,Settlement,,Deceased Settlement is with heirs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"James ""Jim"" Mooney","pencils, inks",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Curt Swan,cover pencils,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Stan Kaye,cover inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Invisible Kid
(Jacques Foccart)",,Legion of Super-Heroes Annual #1,Aug-1982,N,Paul Levitz,writer,None,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Keith Giffen,"pencils, cover pencils",Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bruce Patterson,inks,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dick Giordano,cover inks,Exclusive,,"Giordano may have been an employee of DC at this time.
Deceased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Carl Gafford,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Invisibles,,The Invisibles #1,Sep-1994,,Grant Morrison,writer,Services Agreement,,,DC does not own any media rights in the property as they were all reserved to Grant Morrison (and may or may not be with Netflix currently),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Steve Yeowell,"pencils, inks",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Invunche,Dark Universe,Saga of the Swamp Thing #37,Jun-1985,N,Alan Moore,writer,None,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Rick Veitch,pencils,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,John Totleben,"inks, cover inks",None,,Character equity agreement sent. (6/9/16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Steven Bissette,cover pencils,None,,Character equity agreement sent. (6/9/16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
