Property Character Location Other,PropertyType,Project Requested,First appearance:,,Appears On Cover? (Y/N),Talent:,,,,Talent/Agreement  Notes,Rights/Additional Notes,GUID
Ahk-Ton,Character,,"The Brave and the Bold #57
First appearance but in hieroglyphics",Jan-64,N,Bob Haney,writer,Contributor Recognition,,"Deceased. While not expressly referenced in the agreement, the agreement does cover all characters whether referenced or not. Agreement is with heirs.",,1ECE22F2-2F07-0D42-B3B0-501D5F25D260
,Character,,,,,Ramona Fradon,pencils,Contributor Recognition,,"While not expressly referenced in the agreement, the agreement does cover all characters whether referenced or not.",,6F281E22-DDD5-8546-AD07-86F6B0E1E2EA
,Character,,,,,Charles Paris,inks,None,,,,53CAFAB7-F86F-FB48-A2E5-64D0C35DEFC7
,Character,,"Batman and the Outsiders #17
First appearance as an actual character",Jan-84,N,Mike Barr,writer,Writer Agreement,,,,5A92FE2B-8368-4841-82F3-F69F96C4CDCF
,Character,,,,,Jim Aparo,"pencils, inks",Artist Services Agreement,,"The Agreement is for ""The Outsiders"".",,4C1D07C7-F5E6-9341-AC51-838152809C9F
Alan St. James,Character,"Point Blank
Sleeper",Sleeper #6,Aug-03,N,Ed Brubaker,writer,WFH,,,,B0B7D5BE-EC2E-1A4D-B8AB-53F22F220428
,Character,,,,,Sean Phillips,"pencils, inks, cover",WFH,,,,E09B8EB2-6263-524C-B591-44626858D7DA
,Character,,,,,Tony Avina,color,N/A,,,,BF462841-6BCF-9D4A-B6D6-CD0F1D7326A1
Alanna,Character,Krypton,"Showcase #17
""Secret of the Eternal City""",Nov-58,Y,Gardner F. Fox,writer,Creator Recognition,,Deceased. Creator recognition agreement with is with heirs.,,0416F318-C89D-424B-85C3-7B6F3A341E97
,Character,,,,,Mike Sekowsky,pencils,None,,Deceased,,F9B862AB-9689-9140-BC62-73AD1789781B
,Character,,,,,Frank Giacoia,inks,None,,Deceased,,588D9F66-6554-2842-85FC-2A7EEB752D16
,Character,,,,,Gil Kane,cover,None,,Deceased,,F576102F-0F21-714B-AE82-F5C239BB0533
Albert Michaels,Character,,Superman #303,Sep-76,N,Gerry Conway,writer,,,,,369F0DB8-C4E7-AB4D-B8A4-B938F71F4277
,Character,,,,,Curt Swan,pencils,,,,,24927860-7D46-3A4F-8C74-00F9684C1BE0
,Character,,,,,Bob Oskner,color,,,,,E466A189-9CB9-1443-AEE7-92EF99BA6CDD
Aldo,Character,"Point Blank
Sleeper",Sleeper: Season 2 #4,Nov-04,N,Ed Brubaker,writer,WFH,,,,657DD4C7-4888-3543-AE90-3D2D787101FF
,Character,,,,,Sean Phillips,"pencils, inks, cover",WFH,,,,3F8A0EC9-E324-944C-8144-3D840ED00FE8
,Character,,,,,Carrie Strachan,color,N/A,,,,F6A2166B-475D-D143-95A6-BE31FEECB470
Alex Logue,Character,Legends 504,Hellblazer #11,Nov-88,N,Jamie Delano,writer,WFH,,,,321F087B-E01A-4746-8A61-980370E630FB
,Character,,,,,Richard Piers Rayner,pencils,WFH,,,,C23263B9-2A67-E34F-99CD-034974701B48
,Character,,,,,Mark Buckingham,inks,WFH,,,,38C0C276-6362-8544-93CC-A73018BEC46A
Alexander Quirk,Character,Flash 420,Hawk & Dove #1,Nov-11,N,Sterling Gates,writer,WFH,,,,09FB81B8-D77F-3844-AE4D-9B009EA42D04
,Character,,,,,Rob Liefeld,"pencils, inks, cover",WFH,,,,552492F8-6958-F04A-BF91-44CC9664DD1E
,Character,,,,,Matt Yackey,color,N/A,,,,6D503C44-2B3C-A340-97BD-D8BB40D234DD
Alfred E. Neuman,Character,,"The MAD Reader
(Ballantine Books)",1954,Y,Harvey Kurtzman,editor,None,,"Per J. Ficarra - Kurtzman claimed & named the character; however Alfred did not become the official ""mascot"" of MAD until Kurtzman's departure from the magazine.",,A9AF88F9-8617-D34E-9D49-783E8419BCDD
,Character,,"MAD Debut:
MAD Magazine #21",Mar-55,Y,Harvey Kurtzman,editor,None,,Per J. Ficarra - No artist created the cover image for this issue. It was created with pick up clip art.,,BFFC97E6-6B44-8143-9E3C-A7F263EDC108
,Character,,"Full appearance (face & name):
MAD Magazine #30",Nov-56,Y,Norman Mingo,artist,None,,Deceased,,296020B6-ADFB-6641-9788-555E046218F8
"Alfred Pennyworth
(Alfred Beagle)",Character,,"Batman #16
""Here Comes Alfred""",Apr-43,N,Don Cameron,writer,None,,Deceased,,26EF2F0C-F9C9-DC4A-97ED-4A765689E83F
,Character,,,,,Bob Kane,pencils,Services Agreements,,Deceased,,E8D2EAD0-6EA2-B94C-9C95-C81794F30459
,Character,,,,,Jerry Robinson,"inks, cover",Settlement,,Deceased,,63064817-9904-1241-862A-0D93FA847C7D
Alice Dee,Character,Gotham 303,Batman: The Dark Knight #17,Apr-13,N,Gregg Hurwitz,writer,WFH,,,,55116646-D406-8F41-A0C9-D258AC2E8B01
,Character,,,,,Ethan Van Sciver,"pencils, inks, cover",WFH,,,,50F8A42D-7F70-454E-BAA7-10515AB8D517
,Character,,,,,Brian Miller,color,N/A,,,,2888F4A2-E7FC-944D-A46F-474360783562
Alice Pleasance,Character,Gotham 303,"Batman: The Animated Series
""Mad as a Hatter""",Oct-92,,Paul Dini,writer,,,,,EE47F803-5052-F741-822E-1B38A382B156
,Character,,Batman & Robin Adventures #17,Apr-97,N,Paul Dini,plot,WFH,,,,D8E4B2E7-1017-0949-A34A-9E2372AED0F2
,Character,,,,,Ty Templeton,"script, cover pencils",WFH,,,,7A347056-DF7A-3149-B8AA-421337B71159
,Character,,,,,Joe Staton,pencils,WFH,,,,20762D00-F0A1-DC47-9464-9FB3C83350D0
,Character,,,,,Rick Burchett,"inks, cover inks",WFH,,,,B457AF2A-C91C-1048-9336-96970398F2E3
,Character,,,,,Linda Medley,color,N/A,,,,411E324D-C955-B04A-860F-2CEBE4397FD8
All-Beard,Character,,Seven Soldiers: The Manhattan Guardian #1,May-05,N,Grant Morrison,Writer,WFH; Exclusive,2007,,,38D14ACE-14BA-6843-BAC3-CF49F7785046
,Character,,,,,Cameron Stewart,"Pencils, Inks, Cover",WFH,,,,14D85F88-265D-A04D-8909-B86AD123E6FE
,Character,,,,,"William ""Moose"" Baumann",Color,N/A,,,,EB3FA7C5-5BE3-9440-B47D-2A67E7C84316
Allegra Garcia,Character,Flash 602,"Titans Volume 2 #28
Family Runion Part 1",Dec-10,N,Eric Wallace,Writer,WFH,,,,00BE903F-BB5E-D94F-AB49-C728FFC6DCDE
,Character,,,,,Fabrizio Fiorentino,"Pencils, Inks",WFH,,,,DBCE1E4A-8409-5C45-8165-0FA35B85EBD7
,Character,,,,,Cliff Richards,"Pencils, Inks",WFH,,,,12E98598-AA13-704A-B9C5-18CB4273C5E3
Allen Phaedon,Character,,Firestorm #14,Aug-05,N,Stuart Moore,writer,WFH,,,,6705A11D-0463-7245-BE97-A095B7804C66
,Character,,,,,Jamal Igle,pencils,WFH,,,,DD97B995-615D-284F-9661-9805AD167238
,Character,,,,,Rob Stull,inks,WFH,,,,A0021139-7053-0B40-B3B3-7791B972E725
,Character,,,,,Matt Haley,cover,WFH,,,,5F4BD9A9-F131-B449-AF68-7268EECC3FDF
,Character,,,,,Chris Sotomayor,color,N/A,,,,ADA299FF-2E65-7842-A827-8B3384EF1B49
"Allura In-Ze
(Silver Age)",Character,,"Action Comics #252
""The Supergirl From Krypton""",May-59,N,Otto Binder,writer,None,,Deceased,,F6372A9C-2BEE-514B-A5F6-9C9BF4600F25
,Character,,,,,Al Plastino,"pencils, inks",None,,Deceased,,77B5CD27-2F7F-914C-BA45-860A4447A276
,Character,,,,,Curt Swan,cover pencils,None,,Deceased,,76817AF3-EBCF-1247-A4BB-A81CF56806BE
,Character,,,,,Stan Kaye,cover inks,None,,Deceased,,37152F3E-24C4-5341-BF6D-78528E186E1D
Alura In-Ze,Character,,Superman/Batman #9,Jun-04,N,Jeph Loeb,writer,WFH,,,,389AF893-AB44-9E4D-BE30-644CFD5CCB76
,Character,,,,,Michael Turner,"pencils, inks, cover",Continuity Artist,,,,C44EC003-1A74-5544-8E7A-24A02E16FF19
,Character,,,,,Peter Steigerwald,color,N/A,,,,23DC1A48-305D-494D-A6E4-43AC4A92942F
Alvin Pierce,Character,Black Lightning 105,Black Lightning #6,Jan-78,Y,Anthony Isabella,writer,Exclusive; Creator Recognition,2016,,,292C9DB2-63C3-B841-85DF-62B6EDF2A09A
,Character,,,,,Trevor Von Eeden,pencils,None,2016,,,BA8E1354-4271-6148-A64F-16C5880E709B
,Character,,,,,Vince Colletta,"inks, cover inks",Exclusive,,Deceased,,17665265-74A1-D447-A9C8-3D738303101F
,Character,,,,,Rich Buckler,cover pencils,None,,,,BF8C6731-C2D2-9A4C-B848-4D0EDE577AF9
,Character,,,,,Jerry Serpe,color,N/A,,,,0EF82149-4D6D-D14C-ADA5-B4BFF4BE8652
AmerTek Industries,Location,"Flash
(2018)",Steel #1,Feb-94,N,Jon Bogdanove,"writer, cover pencils",Continuity; Exclusive,,,,37D84A28-2545-264C-AC98-E81515B05CC8
,Location,,,,,Louise Simonson,writer,Continuity,,,,559C092B-B716-4842-9E5A-8CF656143BE0
,Location,,,,,Chris Batista,pencils,WFH,,,,88D4114A-DF21-BE44-AE78-B3AE7FB00039
